anime_id,name,genre,type,episode,rating,members,status,date
,Kimetsu no Yaiba Movie: Mugen Ressha-hen,"Action, Historical, Demons, Supernatural, Shounen",Movie,1,8.68,"263,080",Airing,12/14/2020
,Haikyuu!!: To the Top 2nd Season,"Comedy, Sports, Drama, School, Shounen",TV,12,8.54,"247,481",Airing,12/14/2020
,Tian Guan Ci Fu,"Action, Adventure, Historical, Supernatural, Drama",ONA,11,8.53,"26,505",Airing,12/14/2020
,Jujutsu Kaisen (TV),"Action, Horror, Demons, Supernatural, School, Shounen",TV,24,8.45,"398,504",Airing,12/14/2020
,Golden Kamuy 3rd Season,"Action, Adventure, Historical, Seinen",TV,12,8.39,"54,777",Airing,12/14/2020
,Tonikaku Kawaii,"Comedy, Romance, Shounen",TV,12,8.02,"205,771",Airing,12/14/2020
,Gochuumon wa Usagi Desu ka? Bloom,"Slice of Life, Comedy",TV,12,7.93,"28,320",Airing,12/14/2020
,Yuukoku no Moriarty,"Mystery, Historical, Psychological, Shounen",TV,11,7.86,"90,254",Airing,12/14/2020
,Love Live! Nijigasaki Gakuen School Idol Doukoukai,"Music, Slice of Life, School",TV,13,7.84,"31,803",Airing,12/14/2020
,Akudama Drive,"Action, Sci-Fi",TV,12,7.76,"131,611",Airing,12/14/2020
,Maoujou de Oyasumi,"Slice of Life, Comedy, Supernatural, Magic, Fantasy, Shounen",TV,12,7.72,"62,043",Airing,12/14/2020
,Majo no Tabitabi,"Adventure, Magic, Fantasy",TV,12,7.59,"142,434",Airing,12/14/2020
,Osomatsu-san 3rd Season,"Comedy, Parody",TV,25,7.57,"10,050",Airing,12/14/2020
,Mahouka Koukou no Rettousei: Raihousha-hen,"Action, Sci-Fi, Supernatural, Magic, Romance, School",TV,13,7.55,"158,499",Airing,12/14/2020
,Wan Sheng Jie 2,"Slice of Life, Comedy, Supernatural",ONA,12,7.54,"1,854",Airing,12/14/2020
,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,"Action, Adventure, Comedy, Romance, Fantasy",TV,12,7.51,"233,072",Airing,12/14/2020
,Tensei shitara Slime Datta Ken OVA,"Fantasy, Shounen",OVA,5,7.47,"108,467",Airing,12/14/2020
,Kamisama ni Natta Hi,"Drama, Fantasy",TV,12,7.42,"124,867",Airing,12/14/2020
,Adachi to Shimamura,"Slice of Life, Romance, School, Shoujo Ai",TV,12,7.4,"82,635",Airing,12/14/2020
,Puparia,Dementia,ONA,1,7.34,"3,743",Airing,12/14/2020
,Munou na Nana,"Super Power, Psychological, Supernatural, Thriller, Shounen",TV,13,7.27,"111,777",Airing,12/14/2020
,Hanyou no Yashahime: Sengoku Otogizoushi,"Action, Adventure, Comedy, Historical, Demons, Supernatural, Magic, Fantasy",TV,,7.26,"63,109",Airing,12/14/2020
,Higurashi no Naku Koro ni Gou,"Dementia, Horror, Mystery, Psychological, Supernatural, Thriller",TV,24,7.25,"133,655",Airing,12/14/2020
,Burn the Witch,"Action, Magic, Fantasy, Shounen",Movie,3,7.21,"104,966",Airing,12/14/2020
,A3! Season Autumn & Winter,"Slice of Life, Drama",TV,,7.19,"9,055",Airing,12/14/2020
,Dragon Quest: Dai no Daibouken (2020),"Action, Adventure, Fantasy, Shounen",TV,,7.16,"32,770",Airing,12/14/2020
,D4DJ: First Mix,Music,TV,,7.14,"7,062",Airing,12/14/2020
,Dr. Stone: Stone Wars - Kaisen Zenya Special Eizou,"Sci-Fi, Adventure, Shounen",Special,1,7.12,"24,558",Airing,12/14/2020
,Strike Witches: Road to Berlin,"Action, Military, Sci-Fi, Magic, Ecchi",TV,12,7.02,"12,898",Airing,12/14/2020
,Kud Wafter,"Comedy, Romance, School",Movie,1,7,"13,148",Airing,12/14/2020
,Sekikashita Kusanagi,"Sci-Fi, Comedy",ONA,1,6.97,"1,978",Airing,12/14/2020
,Kuma Kuma Kuma Bear,"Adventure, Comedy, Fantasy",TV,12,6.93,"48,405",Airing,12/14/2020
,Date A Bullet: Nightmare or Queen,Sci-Fi,Movie,1,6.9,"23,559",Airing,12/14/2020
,Bem Movie: Become Human,"Action, Horror, Demons, Supernatural",Movie,1,6.77,"4,847",Airing,12/14/2020
,Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,"Slice of Life, Comedy",TV,,6.75,"6,262",Airing,12/14/2020
,Kami-tachi ni Hirowareta Otoko,"Adventure, Slice of Life, Magic, Fantasy",TV,12,6.73,"60,720",Airing,12/14/2020
,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen","Action, Military, Romance, Fantasy",TV,12,6.71,"110,934",Airing,12/14/2020
,Yingxiong Zai Lin,"Green Monster Team, BigFireBird Animation",ONA,12,6.69,"4,151",Airing,12/14/2020
,Taisou Zamurai,Sports,TV,11,6.66,"26,326",Airing,12/14/2020
,Shi Yi Chang An: Ming Yue Ji Shi You,"Historical, Romance",ONA,,6.62,"1,580",Airing,12/14/2020
,Tales of Crestoria: Toga Waga wo Shoite Kare wa Tatsu,"Adventure, Magic, Fantasy",Special,1,6.62,"1,590",Airing,12/14/2020
,Gundam Build Divers Battlogue,"Action, Sci-Fi, Mecha",ONA,1,6.6,807,Airing,12/14/2020
,Noblesse,"Action, Supernatural, Vampire, School",TV,,6.59,"118,299",Airing,12/14/2020
,Ochikobore Fruit Tart,"Music, Slice of Life",TV,12,6.55,"18,162",Airing,12/14/2020
,Ikebukuro West Gate Park,"Mystery, Drama, Romance",TV,12,6.54,"54,468",Airing,12/14/2020
,Toji no Miko: Kizamishi Issen no Tomoshibi OVA,"Action, Fantasy",OVA,2,6.49,"3,490",Airing,12/14/2020
,Magatsu Wahrheit: Zuerst,"Action, Magic, Fantasy",TV,,6.38,"19,247",Airing,12/14/2020
,One Room Third Season,Slice of Life,TV,,6.36,"14,248",Airing,12/14/2020
,Hypnosis Mic: Division Rap Battle - Rhyme Anima,"Action, Sci-Fi, Music",TV,13,6.29,"26,503",Airing,12/14/2020
,Bear Bear Bear Kuma!,"Slice of Life, Comedy",ONA,,6.27,"2,891",Airing,12/14/2020
,Tsukiuta. The Animation 2,Music,TV,13,6.26,"4,251",Airing,12/14/2020
,Assault Lily: Bouquet,"Action, Magic, Fantasy",TV,,6.22,"44,092",Airing,12/14/2020
,Senyoku no Sigrdrifa,"Action, Military",TV,12,6.22,"26,012",Airing,12/14/2020
,100-man no Inochi no Ue ni Ore wa Tatteiru,"Action, Drama, Fantasy, Game, Shounen",TV,12,6.2,"95,049",Airing,12/14/2020
,Iwa Kakeru!: Sport Climbing Girls,"Comedy, Sports, School",TV,12,6.2,"46,888",Airing,12/14/2020
,Dokyuu Hentai HxEros OVA,"Action, Comedy, Supernatural, Ecchi, School, Shounen",OVA,2,6.17,"4,708",Airing,12/14/2020
,Toutotsu ni Egypt Kami,"Comedy, Fantasy, Slice of Life",ONA,,5.9,"1,222",Airing,12/14/2020
,Himitsukessha Taka no Tsume: Golden Spell,"Comedy, Parody, Super Power",TV,12,5.85,566,Airing,12/14/2020
,Senyoku no Sigrdrifa: Dai-909 Senjutsu Hime-tai Sentou Kiroku!,"Action, Military",Special,1,5.81,"1,300",Airing,12/14/2020
,Eternity: Shinya no Nurekoi Channel ?,"Ecchi, Romance",TV,12,5.73,"3,439",Airing,12/14/2020
,King's Raid: Ishi wo Tsugumono-tachi,"Action, Adventure, Magic, Fantasy",TV,26,5.72,"31,970",Airing,12/14/2020
,Otona nya Koi no Shikata ga Wakaranee!,"Romance, Ecchi",TV,8,5.67,"7,687",Airing,12/14/2020
,Dounika Naru Hibi,"Slice of Life, Drama, Romance, Shoujo Ai, Shounen Ai",Movie,1,5.58,"8,209",Airing,12/14/2020
,"Ayanami Rei, Hajimete no Kuchibeni",Music,ONA,1,5.56,314,Airing,12/14/2020
,Guraburu!,"Adventure, Fantasy",TV,,5.51,"7,760",Airing,12/14/2020
,Sore dake ga Neck,Mystery,TV,,5.4,"3,737",Airing,12/14/2020
,Maesetsu!,"Slice of Life, Comedy",TV,12,5.34,"7,602",Airing,12/14/2020
,Kusoge tte Iuna! Animation,Comedy,ONA,12,5.27,883,Airing,12/14/2020
,Dogeza de Tanondemita,"Comedy, Ecchi, Fantasy",TV,12,5.24,"21,779",Airing,12/14/2020
,Rail Romanesque,Slice of Life,TV,12,4.83,"16,935",Airing,12/14/2020
,Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 1 - Wandering; Agateram,"Action, Supernatural, Magic, Fantasy",Movie,1,,"34,428",Airing,12/14/2020
,Josee to Tora to Sakana-tachi,"Slice of Life, Drama, Romance",Movie,1,,"34,038",Airing,12/14/2020
,Kimi wa Kanata,"Drama, Fantasy",Movie,1,,"20,051",Airing,12/14/2020
,Grisaia: Phantom Trigger The Animation - Stargazer,"Action, School",Movie,1,,"12,321",Airing,12/14/2020
,Wave!!: Surfing Yappe!!,"Slice of Life, Sports",Movie,3,,"11,563",Airing,12/14/2020
,Yes ka No ka Hanbun ka,"Drama, Shounen Ai",Movie,1,,"9,321",Airing,12/14/2020
,Majo Minarai wo Sagashite,"Comedy, Magic, Shoujo",Movie,1,,"6,402",Airing,12/14/2020
,Jiang Ziya,"Action, Adventure, Fantasy",Movie,1,,"3,225",Airing,12/14/2020
,Entotsu Machi no Poupelle,"Adventure, Magic, Fantasy",Movie,1,,"2,922",Airing,12/14/2020
,Dogeza de Tanondemita: Isekai-hen,"Comedy, Ecchi, Fantasy",Special,1,,"2,562",Airing,12/14/2020
,Monster Strike the Movie: Lucifer - Zetsubou no Yoake,"Action, Game, Fantasy",Movie,1,,"2,485",Airing,12/14/2020
,Soukyuu no Fafner: Dead Aggressor - The Beyond Part 3,"Action, Military, Sci-Fi, Drama, Mecha",Movie,3,,"1,685",Airing,12/14/2020
,Mulan: Heng Kong Chu Shi,Action,Movie,1,,"1,625",Airing,12/14/2020
,Aya to Majo,Magic,Movie,1,,"1,601",Airing,12/14/2020
,Precure Miracle Leap Movie: Minna to no Fushigi na Ichinichi,"Action, Fantasy, Magic, Shoujo",Movie,1,,"1,204",Airing,12/14/2020
,Tokyo Gambo,Slice of Life,TV,,,"1,138",Airing,12/14/2020
,Kono Sekai no Tanoshimikata: Secret Story Film,Music,Movie,1,,994,Airing,12/14/2020
,Xie Wang Zhui Qi 2nd Season,"Action, Comedy, Drama, Romance, Martial Arts, Fantasy",ONA,,,917,Airing,12/14/2020
,Qin Shi Ming Yue: Canghai Hengliu,"Action, Historical, Martial Arts, Fantasy",ONA,,,801,Airing,12/14/2020
,Qin Xia,"Action, Adventure, Fantasy",ONA,12,,712,Airing,12/14/2020
,Boukyaku Battery,"Sports, School, Shounen",ONA,1,,695,Airing,12/14/2020
,Shaonu Qianxian: Renxing Xiao Juchang 2,"Military, Sci-Fi, Comedy",ONA,,,616,Airing,12/14/2020
,Chu Feng: Yi Dian Zhi Zi,"Action, Sci-Fi, Romance, Fantasy, Mecha",ONA,12,,597,Airing,12/14/2020
,Xin Jue,"Action, Sci-Fi, Adventure, Magic",ONA,13,,490,Airing,12/14/2020
,Wo Jia Da Shixiong Shi Ge Fanpai,"Action, Adventure, Comedy, Historical, Martial Arts",ONA,,,470,Airing,12/14/2020
,Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,"Parody, Magic",TV,,,457,Airing,12/14/2020
,Huyao Xiao Hongniang: Mu Tiancheng Ding Dang,"Comedy, Historical, Supernatural, Drama, Romance",ONA,12,,432,Airing,12/14/2020
,Tsukiusa. Gekijou,Comedy,ONA,,,267,Airing,12/14/2020
,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi?"," Action, Fantasy",ONA,,,252,Airing,12/14/2020
,Mars Red: Zero Kikan Nippou,Comedy,ONA,,,239,Airing,12/14/2020
,Onegai Patron-sama!,Slice of Life,ONA,,,229,Airing,12/14/2020
,Attack Zero x Evangelion,"Music, Slice of Life",ONA,1,,226,Airing,12/14/2020
,Wo Wei Ge Kuang: Xuanlu Chongqi,"Music, School",ONA,12,,219,Airing,12/14/2020
,Han Hua Ri Ji 2nd Season,"Slice of Life, Comedy, Supernatural",ONA,,,211,Airing,12/14/2020
,Tunshi Xingkong,Sci-Fi,ONA,26,,211,Airing,12/14/2020
,Jue Shi Wu Hun,"Action, Fantasy, Martial Arts",ONA,60,,204,Airing,12/14/2020
,Tian Huang Zhan Shen,"Action, Fantasy, Historical, Martial Arts",ONA,80,,142,Airing,12/14/2020
,Juunenbun no Watashi e,Drama,ONA,1,,140,Airing,12/14/2020
,Onegai Patron-sama! Episode 0,Slice of Life,ONA,1,,135,Airing,12/14/2020
,Zhan Shuang Panini,"Action, Comedy",ONA,12,,124,Airing,12/14/2020
,Kaoru no Taisetsu na Mono,Comedy,TV,,,116,Airing,12/14/2020
,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin Zhi Chang Piao,"Comedy, Historical",ONA,,,110,Airing,12/14/2020
,Su Shen Xiao Ren,"Slice of Life, Comedy",ONA,12,,80,Airing,12/14/2020
,Menghuan Shuyuan 4th Season,"Comedy, Fantasy",ONA,14,,59,Airing,12/14/2020
,Fei Zhi Baike,Comedy,ONA,12,,58,Airing,12/14/2020
,Xing Hai Qi Shi,"Action, Fantasy, Sci-Fi",ONA,14,,35,Airing,12/14/2020
